name,address,latitude,longitude,rating,reviews_count,place_id,price_level,types,borough,Code,Value,Code_earnings,Pay_2021,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Income Rank (where 1 is most deprived)
De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,1,ChIJE21HS5wFdkgRzw8pNbh3GXY,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,6,ChIJQ0WhI0EFdkgRUsFp8mc6Uz0,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,0,ChIJC3sFcScFdkgRjDFmpRgCkDA,,"clothing_store, store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,4,ChIJzSkNc6IPdkgRu94_WeUtWHc,,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Urban Closet London,"Tooting Market, The UrbanClosetLondon, Tooting High St, London",51.4289129,-0.1663327,0.0,0,ChIJ1bOaZ50HdkgRYd9Q1JpydWA,,"clothing_store, store, point_of_interest, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,14,ChIJF6g0258FdkgRy8AyXmwy504,,"furniture_store, home_goods_store, store, point_of_interest, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,28,ChIJT75VLXwFdkgREXWePJw9XEM,,"store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Academy Vintage Repro,"229 Waterloo Rd, London",51.4998143,-0.1068619,0.0,0,ChIJHQZL3CAFdkgRGBO5k4tozgc,,"clothing_store, store, point_of_interest, establishment",Southwark,E09000028,"520,000",00BE,631.9,11546.481927710844,11492.855421686747
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,0,ChIJFQa-CuIPdkgRBR-HCPN8Fb0,,"clothing_store, point_of_interest, store, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
The Vintage Exchange,"291 Mitcham Rd, London",51.4209073,-0.1607588,0.0,0,ChIJazIdH8UHdkgReclMz_iyksE,,"furniture_store, home_goods_store, point_of_interest, store, establishment",Merton,E09000024,"445,000",00BA,586.3,20967.604838709678,19170.032258064515
My Vintage J Box,"58 Streatham High Rd, London",51.4367663,-0.1280156,5.0,3,ChIJAbM_oiUEdkgRrXVy7xJ6Bk8,,"store, point_of_interest, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Cenci vintage clothing & accessories,"4 Nettlefold Pl, London",51.4326601,-0.1044561,4.2,34,ChIJCWcixAIEdkgRNWHZv6bU9x0,,"clothing_store, point_of_interest, store, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
ACADEMY COSTUMES & REPRODUCTIONS,"229 Waterloo Rd, London",51.4998143,-0.1068619,5.0,1,ChIJ34hpMrnuPmoRwqM6JhAly2g,,"clothing_store, point_of_interest, store, establishment",Southwark,E09000028,"520,000",00BE,631.9,11546.481927710844,11492.855421686747
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,25,ChIJnb0aMHYPdkgR5kuyDQTu8R4,,"clothing_store, point_of_interest, store, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,49,ChIJdcMjiDN5dkgROqbs4NTxXRs,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,8,ChIJwctwbkQPdkgRMfd9HfXs2DU,,"furniture_store, home_goods_store, point_of_interest, store, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
Loop Generation Consignment Store in London's Chelsea,"295-297 Brompton Rd, London",51.49415639999999,-0.1685987,4.8,11,ChIJ894MZ10FdkgR5DPq-qL7TwI,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,13,ChIJnx0nXIcPdkgROQ5Vr7GX_gY,,"home_goods_store, point_of_interest, store, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,8,ChIJtzyXVL0FdkgRP7_AUOxD-h8,,"home_goods_store, point_of_interest, store, establishment",Wandsworth,E09000032,"640,000",00BJ,746.7,18713.156424581004,17922.709497206703
Kantuta,"1D Gleneagle Rd, London",51.42696129999999,-0.1316896,5.0,3,ChIJfbDKCoMGdkgR-H_YvN0UftI,,"furniture_store, home_goods_store, point_of_interest, store, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Traid Hammersmith,"119 King St, London",51.4924767,-0.2301674,4.6,22,ChIJc7LGwbUPdkgRE2SrmnLDn9A,,"clothing_store, point_of_interest, store, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Butterworth Christopher,"71 Pimlico Rd, London",51.490362,-0.1535057,3.7,3,ChIJp8sx0BkFdkgRKFfdhiBr3R4,,"home_goods_store, point_of_interest, store, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,7,ChIJZ4hOXOcFdkgRyNCRfEm_7kU,,"furniture_store, home_goods_store, point_of_interest, store, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,434,ChIJWf0T1NQEdkgRG5oaSfx9paQ,2.0,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
PICKNWEIGHT - VINTAGE KILO STORE,"14-18 Neal St, London",51.5138476,-0.1248029,3.6,112,ChIJvzm727oFdkgRch75deM1hRs,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Reign Vintage,"12 Berwick St, London",51.51340130000001,-0.1345882,4.3,64,ChIJP8_qoNQEdkgRDhsWpHPPXxw,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Wow Retro London Covent Garden,"179 Drury Ln, London",51.51564699999999,-0.1234713,4.3,105,ChIJQeZtWDMbdkgR4eDUZZ8nar0,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Blackout II - Vintage Clothing London,"51 Endell St, London",51.5148867,-0.125315,3.9,66,ChIJf_T0MzMbdkgRo3Y-CncKYEg,,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Vintage Threads,"69 Neal St, London",51.51494020000001,-0.1266051,4.3,32,ChIJcy-y6AUddkgRhDlo_QqPcto,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Pop Boutique,"30 Short's Gardens, London",51.5144586,-0.1254132,4.1,76,ChIJQcBmMM0EdkgRHN4_LQgpjW4,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,11,ChIJv1a_4xgQdkgR5ZbM4Ktx-N8,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Goldsmith Vintage,"121, 123 Charing Cross Rd, London",51.5149524,-0.1301147,4.2,75,ChIJ7fvSTC0bdkgRExTPDHDDCDo,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Rokit Covent Garden,"42 Shelton St, London",51.5140748,-0.1244384,4.2,355,ChIJXYDtx8wEdkgRQxiyB6nzf2E,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
goldsmith vintage,"57 Neal St, London",51.51476760000001,-0.1263361,3.4,5,ChIJd5k8j6oFdkgRgXD_GeJD0RI,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,12,ChIJ_X4KxB4QdkgRvjr44JpY2U4,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Past Trash,"38 Neal St, London",51.5143694,-0.1253947,4.7,3,ChIJ578rejEFdkgRyAehls9cosY,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,19,ChIJi9_wxh4QdkgRgLFdnOHIDyM,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Wings Vintage,"105A Euston St., London",51.526494,-0.1363579,4.0,3,ChIJrVGwvSkbdkgR2LSr9rqJEc8,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Beyond Retro Westfield,"0 Ariel Way, London",51.5071854,-0.2222922,5.0,5,ChIJW-uaRncPdkgR5kNW1fTJhWc,,"clothing_store, store, point_of_interest, establishment",Hammersmith and Fulham,E09000013,"740,000",00AN,714.5,14202.601769911504,13752.920353982301
Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,9,ChIJlVa_4xgQdkgRkgNNlNNdfvs,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,44,ChIJO0h_8BkQdkgRzieFcu8ddJ0,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,14,ChIJ1cRK55wPdkgRwzwOYlOJb6Q,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,27,ChIJS6Nmgm8FdkgRGkDBw4Zq1eA,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,5,ChIJTzuCQKIFdkgRcxPzeD_9slc,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,0.0,0,ChIJc8TyarcadkgRe9HgnOjNHrA,,"clothing_store, electronics_store, home_goods_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,0.0,0,ChIJ--BlkywFdkgRlxmrSnCewfE,,"home_goods_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
COW Vintage,"13 Short's Gardens, London",51.5141663,-0.126386,3.7,19,ChIJIY3kIh8FdkgRQjhP5bggO2I,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,1,ChIJbwOSTxwQdkgR4EFSAiIfyO4,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,4,ChIJQ4-Q3kEFdkgRP3tWpsbe2R4,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,8,ChIJyaPlFBARdkgR8fPvY6-3MUM,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,24,ChIJO4h3KvsRdkgRePoCG0BR20I,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,0.0,0,ChIJEZ7BysZ9BIYRyLExUFNqOIw,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Vintage Clothing,"42 Shelton St, London",51.5140221,-0.1245663,5.0,1,ChIJmWsjucwEdkgRMgocAFEZHWo,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,21,ChIJV6a1ZSwRdkgRYhCRuAEJWEg,,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,1,ChIJI0jCwR4QdkgR6TgNlG6H0Io,,"home_goods_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,1,ChIJP930Bo4RdkgRgxBJ1fix7b8,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,5,ChIJJ-Eh6x4QdkgRoN6mW7fvrfA,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Hartex,"Unit 9, Gabriels Wharf, 56 Upper Ground, London",51.5079685,-0.1103793,4.7,30,ChIJxbqfCT4FdkgRec6-GjV_77k,,"clothing_store, point_of_interest, store, establishment",Lambeth,E09000022,"510,000",00AY,673.6,11294.58988764045,11605.47191011236
Good,"33 Neal St, London",51.5142216,-0.1256036,5.0,15,ChIJF9DEQYQFdkgRZR7SP9q3pq4,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
2o2st News,"72 Berwick St, London",51.5147633,-0.1360655,0.0,0,ChIJvdfz2TAFdkgR7K7ayrxvDXY,,"clothing_store, point_of_interest, store, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
wornwell vintage clothing,"Oxford St, London",51.5165812,-0.1311655,0.0,0,ChIJjU3FalEbdkgRNV9C19fG2jc,,"clothing_store, point_of_interest, store, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,7,ChIJwUUENVQPdkgRoacWwo1nBEI,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,48,ChIJXykmgPwPdkgRumgwwviqJ7k,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,0.0,0,ChIJrbkLCx4QdkgRnbC1rNBwc7s,,"store, point_of_interest, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,1,ChIJq6rqxB4QdkgRla_C8so-wkc,,"point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Retro Clothing Exchange,"28 Pembridge Rd, London",51.50983189999999,-0.1971427,2.9,56,ChIJXykmgPwPdkgR5NpPHemZXdY,,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,E09000020,"1,200,000",00AW,767,15419.339805825242,18563.563106796115
Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,2,ChIJk5B9ZcAPdkgRm356VB8G3JA,,"store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Clerkenwell Vintage Fashion Fair,"38-51 Bedford Way, London",51.5234685,-0.1273138,0.0,0,ChIJPzF8XcIbdkgRCTZCc_5iS5U,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,96,ChIJZ62ON3EbdkgRcSO6-M6NY1Y,,"clothing_store, store, point_of_interest, establishment",Islington,E09000019,"625,000",00AU,665.6,10296.512195121952,9470.764227642276
Kensal Vintage,"Kensal Vintage, 54 College Rd, London",51.533506,-0.2254655,4.8,4,ChIJyXuGpjcQdkgRCSNNsOxrWfo,,"clothing_store, store, point_of_interest, establishment",Brent,E09000005,"450,000",00AE,553.1,12034.70520231214,11542.520231213874
The Vintage Collection,"Arch 59, Camden Stables Market, London",51.5420455,-0.1469688,5.0,2,ChIJ0XSyP6EFdkgR69UVDtMhpA8,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,3,ChIJue3JxXMbdkgRX230Ko_U6ho,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Rokit Camden,"225 Camden High St, London",51.5398923,-0.143589,4.1,119,ChIJ-2gWnuEadkgRCb3PA37RqVs,,"clothing_store, store, point_of_interest, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
St Cyr Vintage,"56 Saddle Row Camden Market, London",51.5421391,-0.1483749,4.3,28,ChIJZy6_FeQadkgRbBzGg9xqL44,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Berty and Gerty Vintage,"53 Camden Lock Pl, London",51.5413907,-0.1465884,0.0,0,ChIJo3fhyh0bdkgRxEMdIXFC-yY,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
What Goes Around Comes Around,"Unit 32, The Stables Market Chalk, Farm Road, London",51.5420969,-0.1466583,3.9,26,ChIJeR51aeQadkgRdGLrAbUG2vo,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Camden Threads - An online shop for the best independent brands and vintage boutiques,"44A Camden Lock Pl, London",51.5414567,-0.1463852,0.0,0,ChIJA9YhbfcbdkgR-PaYsCzeZI4,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Funkytownshop,"Ground Floor, 232 Camden High St, London",51.5409704,-0.1443065,3.3,3,ChIJt4mZB90bdkgRiqNhnSSgPBc,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
OuterLimitz Vintage,"12B, Camden Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,0.0,0,ChIJ_abogkYbdkgReCDANsI1iOA,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Modern Age Vintage Clothing,"65 Chalk Farm Rd, London",51.5433049,-0.1503682,3.3,3,ChIJD1AsFe0adkgRmf0jBi9OOj4,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,20,ChIJrfJgPkQbdkgR-hL6SP_Cp64,,"clothing_store, point_of_interest, store, establishment",Islington,E09000019,"625,000",00AU,665.6,10296.512195121952,9470.764227642276
A Dandy In Aspic,"Market, 748-749, North Yard Stables, Chalk Farm Rd, London",51.5425015,-0.1490213,3.4,27,ChIJSfFEEuQadkgRSQ0tVKnyHaU,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Peekaboo Vintage Marketplace,"149a Abbey Rd, London",51.540942,-0.1910264,5.0,6,ChIJkS_PG20QdkgRCDfXdh3-TJ8,,"clothing_store, point_of_interest, store, establishment",Camden,E09000007,"717,500",00AG,694.2,16247.744360902256,14359.135338345865
Resurrection Boutique,"3, Archway Close, 3 Archway Rd, London",51.5657346,-0.134374,4.2,30,ChIJw-thba4bdkgRUYBfWvpONBI,,"clothing_store, store, point_of_interest, establishment",Islington,E09000019,"625,000",00AU,665.6,10296.512195121952,9470.764227642276
LanaTS Clothing,"55 Baker St, London",51.5187355,-0.1567089,0.0,0,ChIJ1ZmnYhMbdkgRQVC8-rKf0kY,,"clothing_store, store, point_of_interest, establishment",Westminster,E09000033,"1,070,000",00BK,771.6,16194.96875,16175.703125
Bumbelina Vintage,"51 Wotton Rd, London",51.5593564,-0.2259948,0.0,0,ChIJB-qS958RdkgRnq0NQUm2Q0A,,"clothing_store, store, point_of_interest, establishment",Brent,E09000005,"450,000",00AE,553.1,12034.70520231214,11542.520231213874
Svarelle,London,51.56526030000001,-0.1196879,0.0,0,ChIJy-DXTO8bdkgRoqo6NmKQf5g,,"clothing_store, store, point_of_interest, establishment",Islington,E09000019,"625,000",00AU,665.6,10296.512195121952,9470.764227642276
The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,12,ChIJ48aqbrkbdkgR91RMcsxPNdo,,"clothing_store, store, point_of_interest, establishment",Islington,E09000019,"625,000",00AU,665.6,10296.512195121952,9470.764227642276
Can't Buy Me Love Vintage Shop,"16 Ave Mews, London",51.590706,-0.1438725,4.3,6,ChIJw89iBC0adkgRu0kAi3YanaM,,"furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",Haringey,E09000014,"487,500",00AP,542.6,11291.917241379311,11348.386206896552
